CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 1 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 560 (division inferred from opponents for 174, marked ~) | skipped (no division): 18


━━━ HEAVYWEIGHT ━━━  (39 ranked)
22. Jim Crute ~                   5.67  [2/12n 11/14P 4/12P]  last 2025-09-27
23. Brendson Ribeiro              5.67  [3/16n 7/13n 7/13P]  last 2026-04-04
24. Nikita Krylov                 6.00  [8/11P 5/12n 5/13P]  last 2026-01-24
25. Oumar Sy                      6.00  [5/14n 7/13n 6/13n]  last 2026-03-14
26. Julius Walker                 6.00  [6/13n 7/12n 5/12n]  last 2026-02-07
27. Billy Elekana                 6.33  [6/16n 6/13P 7/13n]  last 2026-06-06
28. Ivan Erslan                   6.67  [9/16n 2/12n 9/12P]  last 2026-05-16
29. Navajo Stirling               6.67  [2/15n 12/16n 6/12n]  last 2026-06-20
30. Junior Tafa                   7.00  [6/16n 9/14n 6/13P]  last 2026-06-06
31. Tuco Tokkos                   7.00  [9/16n 6/12n 6/13n]  last 2026-05-16
32. Kevin Christian               8.00  [9/14n 7/13n]  last 2026-05-02
33. Rodolfo Bellato               8.33  [4/16n 15/16P 6/12n]  last 2026-05-16
34. Raffael Cerqueira ~           8.33  [7/12n 12/12n 6/13P]  last 2025-08-09
35. Bruno Lopes                   9.00  [12/16n 3/9n 12/14n]  last 2026-03-28
36. Ibo Aslan ~                   9.33  [12/14P 10/12n 6/12n]  last 2025-12-06
37. Diyar Nurgozhay              10.00  [13/16P 12/12n 5/13n]  last 2026-03-07
38. Marcin Prachnio ~            10.67  [11/14P 11/14P 10/14n]  last 2025-07-19
39. Magomed Gadzhiyasulov ~      11.00  [12/14n 11/12n 10/11n]  last 2025-01-11
40. Uran Satybaldiev             11.50  [12/12n 11/12n]  last 2025-08-23

━━━ MIDDLEWEIGHT ━━━  (72 ranked)
 1. Dricus Du Plessis             1.00  [1/12P 1/12P 1/12P]  last 2025-08-16
 2. Sean Strickland               1.00  [1/14P 1/14n 1/12P]  last 2026-05-09
 3. Israel Adesanya               1.00  [1/16n 1/11n 1/12P]  last 2026-03-28
 4. Khamzat Chimaev               1.33  [1/14P 1/12P 2/13P]  last 2026-05-09
 5. Caio Borralho                 1.33  [2/16P 1/13n 1/11n]  last 2026-03-07
 6. Anthony Hernandez             1.33  [1/14n 1/12n 2/12n]  last 2026-02-22
 7. Reinier De Ridder ~           1.33  [1/13n 1/12n 2/12n]  last 2025-10-18
 8. Nassourdine Imavov ~          1.33  [1/13n 1/11n 2/14n]  last 2025-09-06
 9. Jared Cannonier               2.00  [4/12P 1/12n 1/11n]  last 2025-08-16
10. Roman Dolidze                 2.33  [5/15n 1/12n 1/13n]  last 2026-03-21
11. Joe Pyfer                     3.00  [1/16n 5/14P 3/13P]  last 2026-03-28
12. Cesar Almeida                 3.00  [3/12n 3/14n 3/12n]  last 2025-12-13
