CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 0.6 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 615 (division inferred from opponents for 214, marked ~) | skipped (no division): 24


━━━ HEAVYWEIGHT ━━━  (42 ranked)
29. Nikita Krylov                 6.53  [8/11P 5/12n 5/13P]  last 2026-01-24
30. Ivan Erslan                   6.86  [9/16n 2/12n 9/12P]  last 2026-05-16
31. Junior Tafa                   6.92  [6/16n 9/14n 6/13P]  last 2026-06-06
32. Tuco Tokkos                   7.53  [9/16n 6/12n 6/13n]  last 2026-05-16
33. Rodolfo Bellato               7.73  [4/16n 15/16P 6/12n]  last 2026-05-16
34. Kevin Christian               8.25  [9/14n 7/13n]  last 2026-05-02
35. Raffael Cerqueira ~           8.35  [7/12n 12/12n 6/13P]  last 2025-08-09
36. Bruno Lopes                   9.24  [12/16n 3/9n 12/14n]  last 2026-03-28
37. Ibo Aslan ~                  10.29  [12/14P 10/12n 6/12n]  last 2025-12-06
38. Marcin Prachnio ~            10.82  [11/14P 11/14P 10/14n]  last 2025-07-19
39. Diyar Nurgozhay              11.22  [13/16P 12/12n 5/13n]  last 2026-03-07
40. Magomed Gadzhiyasulov ~      11.33  [12/14n 11/12n 10/11n]  last 2025-01-11
41. Uran Satybaldiev             11.63  [12/12n 11/12n]  last 2025-08-23

━━━ MIDDLEWEIGHT ━━━  (75 ranked)
 1. Dricus Du Plessis             1.00  [1/12P 1/12P 1/12P]  last 2025-08-16
 2. Sean Strickland               1.00  [1/14P 1/14n 1/12P]  last 2026-05-09
 3. Israel Adesanya               1.00  [1/16n 1/11n 1/12P]  last 2026-03-28
 4. Khamzat Chimaev               1.18  [1/14P 1/12P 2/13P]  last 2026-05-09
 5. Anthony Hernandez             1.18  [1/14n 1/12n 2/12n]  last 2026-02-22
 6. Nassourdine Imavov ~          1.18  [1/13n 1/11n 2/14n]  last 2025-09-06
 7. Reinier De Ridder ~           1.18  [1/13n 1/12n 2/12n]  last 2025-10-18
 8. Kamaru Usman                  1.31  [1/13n 2/13P 1/15P]  last 2025-06-14
 9. Caio Borralho                 1.51  [2/16P 1/13n 1/11n]  last 2026-03-07
10. Jared Cannonier               2.53  [4/12P 1/12n 1/11n]  last 2025-08-16
11. Joe Pyfer                     2.59  [1/16n 5/14P 3/13P]  last 2026-03-28
12. Brendan Allen                 2.61  [2/16n 1/13n 7/14P]  last 2026-06-06
13. Cesar Almeida                 3.00  [3/12n 3/14n 3/12n]  last 2025-12-13
14. Roman Dolidze                 3.04  [5/15n 1/12n 1/13n]  last 2026-03-21
15. Sharabutdin Magomedov ~       3.06  [3/12n 2/11n 5/13P]  last 2025-07-26
16. Abdul Razak Alhassan ~        3.55  [3/14n 3/12n 6/12n]  last 2025-01-11
17. Dustin Stoltzfus ~            3.88  [4/14n 3/11n 5/10n]  last 2025-09-13
18. Jack Hermansson ~             4.06  [4/14n 6/11P 1/14n]  last 2025-11-22
19. Edmen Shahbazyan              4.20  [2/16n 5/16n 9/14P]  last 2026-06-06
20. Julian Marquez ~              4.20  [2/10n 5/14n 9/14P]  last 2025-03-01
21. Marc-Andre Barriault          4.80  [4/13n 3/12n 10/12P]  last 2026-02-07
